===== 引用 Vault 的文档 =====

File                                                                LineNumber
----                                                                ----------
/1-服务端核心与网络层/06-Velocity 多服/Velocity 多服.md                                 336
/1-服务端核心与网络层/06-Velocity 多服/Velocity 多服.md                                 338
/1-服务端核心与网络层/06-Velocity 多服/Velocity 多服.md                                 340
/1-服务端核心与网络层/06-Velocity 多服/Velocity 多服.md                                 343
/1-服务端核心与网络层/06-Velocity 多服/Velocity 多服.md                                 367
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                          3
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         13
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         20
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         28
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         79
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         83
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         85
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         87
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                         92
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                        100
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                        101
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                        170
/3-玩法与玩家功能插件/02-经济系统-Vault/Vault.md                                        171
/3-玩法与玩家功能插件/10-EssentialsX多功能指令整合/EssentialsX多功能指令整合（功能说明与完整配置）.md         22
/3-玩法与玩家功能插件/10-EssentialsX多功能指令整合/EssentialsX多功能指令整合（功能说明与完整配置）.md         61
/3-玩法与玩家功能插件/10-EssentialsX多功能指令整合/EssentialsX多功能指令整合（功能说明与完整配置）.md        300
/3-玩法与玩家功能插件/10-EssentialsX多功能指令整合/EssentialsX多功能指令整合（功能说明与完整配置）.md        794
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                        9
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                       22
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                       36
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                       55
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                      145
/3-玩法与玩家功能插件/13-自定义死亡信息/自定义死亡信息customdeathmessages.md                      168
/4-玩家信息与数据展示/01-玩家信息收集与展示/0.玩家信息收集与展示.md                                    50
/4-玩家信息与数据展示/01-玩家信息收集与展示/0.玩家信息收集与展示.md                                    56
/4-玩家信息与数据展示/01-玩家信息收集与展示/0.玩家信息收集与展示.md                                   116
